gender,age,geography,how_long_have_lived_in_reported_state_of_residence
Female,36 to 45 years old,Suburban/Peri-urban,6 months- 1 year
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,Rural,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Male,Under 18,Rural,More than 2 years
Prefer not to answer,Under 18,Rural,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,Rural,More than 2 years
Male,26 to 35 years old,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,6 months- 1 year
Male,26 to 35 years old,Suburban/Peri-urban,6 months- 1 year
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,Less than one month
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Male,26 to 35 years old,Rural,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Rural,More than 2 years
Male,Under 18,Suburban/Peri-urban,6 months- 1 year
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Female,Not Available,Rural,More than 2 years
Prefer not to answer,18 to 25 years old,Rural,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Rural,6 months- 1 year
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,Over 1-2 years
Female,Not Available,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,Over 1-2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,26 to 35 years old,Rural,Less than one month
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,City center or metropolitan area,1-6 months
Male,Not Available,City center or metropolitan area,More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Male,26 to 35 years old,Rural,More than 2 years
Male,Not Available,Rural,More than 2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,Rural,More than 2 years
Male,Not Available,Rural,More than 2 years
Female,Not Available,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Rural,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,Over 1-2 years
Female,Not Available,City center or metropolitan area,More than 2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Rural,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,6 months- 1 year
Male,36 to 45 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Male,Under 18,Rural,More than 2 years
Male,26 to 35 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Rural,Less than one month
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,26 to 35 years old,Rural,More than 2 years
Male,36 to 45 years old,Rural,More than 2 years
Male,18 to 25 years old,Rural,More than 2 years
Male,Not Available,Rural,6 months- 1 year
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,Not Available,City center or metropolitan area,More than 2 years
Male,Not Available,City center or metropolitan area,Over 1-2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,Over 1-2 years
Male,26 to 35 years old,City center or metropolitan area,6 months- 1 year
Male,18 to 25 years old,Rural,More than 2 years
Male,36 to 45 years old,Rural,More than 2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,1-6 months
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Male,26 to 35 years old,Rural,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,More than 2 years
Male,Under 18,Suburban/Peri-urban,More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,Rural,More than 2 years
Female,Not Available,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Male,Under 18,Rural,More than 2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Prefer not to answer,26 to 35 years old,Rural,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,Rural,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,Over 1-2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,1-6 months
Male,18 to 25 years old,City center or metropolitan area,More than 2 years
Female,Not Available,Suburban/Peri-urban,6 months- 1 year
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,City center or metropolitan area,More than 2 years
Male,26 to 35 years old,City center or metropolitan area,6 months- 1 year
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,6 months- 1 year
Female,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,Suburban/Peri-urban,More than 2 years
Male,Not Available,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,More than 2 years
Female,18 to 25 years old,Rural,More than 2 years
Male,Over 45 years old,City center or metropolitan area,More than 2 years
Female,36 to 45 years old,Rural,More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,6 months- 1 year
Female,Over 45 years old,City center or metropolitan area,1-6 months
Female,18 to 25 years old,Rural,6 months- 1 year
Male,26 to 35 years old,Rural,Less than one month
Male,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,6 months- 1 year
Male,Not Available,City center or metropolitan area,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,Over 1-2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,Over 1-2 years
Male,Over 45 years old,Suburban/Peri-urban,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,Suburban/Peri-urban,More than 2 years
Female,26 to 35 years old,Rural,More than 2 years
Male,18 to 25 years old,Rural,More than 2 years
Female,Not Available,Rural,6 months- 1 year
Male,18 to 25 years old,City center or metropolitan area,More than 2 years
Female,Not Available,Rural,Less than one month
Female,26 to 35 years old,Suburban/Peri-urban,More than 2 years
Female,Not Available,Suburban/Peri-urban,Over 1-2 years
Male,18 to 25 years old,Rural,More than 2 years
Female,Not Available,Suburban/Peri-urban,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,Over 1-2 years
